Accession,Description,GeneName,Peptides,PSMs,AAs,MW.kDA,pI,QuantifyingPSMs,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
O75190,DnaJ homolog subfamily B member 6 OS=Homo sapiens GN=DNAJB6 PE=1 SV=2,DNAJB6,67,148,326,36.065,9.16,21,0.999,0.916,0.73,0.629,0.469,0.307,0.159,0.136,0.129,0.119
O75191,Xylulose kinase OS=Homo sapiens GN=XYLB PE=1 SV=3,XYLB,35,102,536,58.345,5.86,50,0.999,0.965,0.933,0.711,0.406,0.228,0.131,0.095,0.08,0.091
O75208,"Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Homo sapiens GN=COQ9 PE=1 SV=1",COQ9,24,66,318,35.487,5.94,26,0.999,0.978,1.022,0.949,0.754,0.559,0.42,0.304,0.231,0.162
O75223,Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1,GGCT,47,421,188,20.994,5.14,211,0.999,0.982,1.006,0.967,0.892,0.724,0.458,0.117,0.088,0.081
O75306,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens GN=NDUFS2 PE=1 SV=2",NDUFS2,20,57,463,52.512,7.55,27,0.999,1.016,0.941,0.881,0.838,0.749,0.52,0.305,0.143,0.117
O75312,Zinc finger protein ZPR1 OS=Homo sapiens GN=ZNF259 PE=1 SV=1,ZNF259,65,258,459,50.893,4.73,112,0.999,1.01,1.018,0.924,0.735,0.406,0.177,0.113,0.106,0.104
O75319,RNA/RNP complex-1-interacting phosphatase OS=Homo sapiens GN=DUSP11 PE=1 SV=1,DUSP11,1,1,330,38.915,9.41,1,0.999,0.953,0.948,0.819,0.693,0.419,0.284,0.173,0.148,0.119
O75323,Protein NipSnap homolog 2 OS=Homo sapiens GN=GBAS PE=1 SV=1,GBAS,43,289,286,33.721,9.36,68,0.999,0.97,0.976,0.896,0.762,0.473,0.222,0.106,0.089,0.088
O75330,Isoform 3 of Hyaluronan mediated motility receptor OS=Homo sapiens GN=HMMR,HMMR,134,313,725,84.177,5.9,126,0.999,1.042,0.953,0.712,0.434,0.224,0.117,0.093,0.09,0.097
O75334,Liprin-alpha-2 OS=Homo sapiens GN=PPFIA2 PE=1 SV=2,PPFIA2,15,39,1257,143.202,6.11,9,0.999,0.998,0.963,0.864,0.483,0.364,0.204,0.138,0.118,0.109
O75340,Programmed cell death protein 6 OS=Homo sapiens GN=PDCD6 PE=1 SV=1,PDCD6,21,56,191,21.855,5.4,24,0.999,0.966,0.891,0.82,0.622,0.399,0.214,0.132,0.11,0.111
O75348,V-type proton ATPase subunit G 1 OS=Homo sapiens GN=ATP6V1G1 PE=1 SV=3,ATP6V1G1,16,81,118,13.749,8.79,40,0.999,0.964,1.011,0.952,0.814,0.584,0.345,0.203,0.16,0.138
O75351,Vacuolar protein sorting-associated protein 4B OS=Homo sapiens GN=VPS4B PE=1 SV=2,VPS4B,60,192,444,49.271,7.23,53,0.999,0.987,0.965,0.836,0.494,0.203,0.101,0.068,0.072,0.083
O75356,Ectonucleoside triphosphate diphosphohydrolase 5 OS=Homo sapiens GN=ENTPD5 PE=1 SV=1,ENTPD5,9,17,428,47.487,6.33,7,0.999,1,1.055,0.908,0.757,0.506,0.31,0.256,0.222,0.227
O75362,Zinc finger protein 217 OS=Homo sapiens GN=ZNF217 PE=1 SV=1,ZNF217,12,22,1048,115.199,8.48,9,0.999,0.881,0.989,0.894,0.61,0.259,0.093,0.077,0.081,0.093
O75367,Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4,H2AFY,16,35,372,39.592,9.79,15,0.999,0.891,0.935,0.877,0.77,0.557,0.384,0.206,0.165,0.144
O75368,SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1,SH3BGRL,39,372,114,12.766,5.25,161,0.999,0.976,0.994,0.934,0.841,0.589,0.391,0.266,0.217,0.233
O75369,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2,FLNB,595,3244,2602,277.99,5.73,751,0.999,0.976,0.975,0.913,0.715,0.332,0.123,0.088,0.081,0.084
O75376,Nuclear receptor corepressor 1 OS=Homo sapiens GN=NCOR1 PE=1 SV=2,NCOR1,84,166,2440,270.044,7.11,50,0.999,0.937,0.804,0.66,0.534,0.341,0.207,0.14,0.122,0.117
O75380,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Homo sapiens GN=NDUFS6 PE=1 SV=1",NDUFS6,20,126,124,13.703,8.28,60,0.999,0.996,1.036,1.138,1.369,1.596,1.55,1.387,1.268,1.248
O75381,Peroxisomal membrane protein PEX14 OS=Homo sapiens GN=PEX14 PE=1 SV=1,PEX14,8,15,377,41.212,4.94,7,0.999,0.954,0.981,0.946,0.924,0.763,0.626,0.543,0.425,0.405
O75382,Tripartite motif-containing protein 3 OS=Homo sapiens GN=TRIM3 PE=1 SV=2,TRIM3,5,9,744,80.779,7.83,3,0.999,1.103,1.028,0.856,0.603,0.342,0.194,0.139,0.198,0.169
O75385,Serine/threonine-protein kinase ULK1 OS=Homo sapiens GN=ULK1 PE=1 SV=2,ULK1,2,3,1050,112.56,8.79,1,0.999,1.003,0.718,0.699,0.353,0.229,0.164,0.093,0.088,0.109
O75390,"Citrate synthase, mitochondrial OS=Homo sapiens GN=CS PE=1 SV=2",CS,49,882,466,51.68,8.32,251,0.999,0.953,0.971,0.865,0.688,0.374,0.155,0.068,0.068,0.081
O75391,Sperm-associated antigen 7 OS=Homo sapiens GN=SPAG7 PE=1 SV=2,SPAG7,51,203,227,26.018,7.91,104,0.999,0.985,1.037,0.977,0.896,0.676,0.551,0.416,0.36,0.308
O75394,"39S ribosomal protein L33, mitochondrial OS=Homo sapiens GN=MRPL33 PE=1 SV=1",MRPL33,10,21,65,7.614,10.8,9,0.999,1.005,0.974,0.749,0.531,0.176,0.108,0.083,0.075,0.079
O75396,Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=4,SEC22B,31,106,215,24.578,6.92,52,0.999,1.001,0.919,0.914,0.667,0.377,0.139,0.093,0.09,0.094
O75400,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens GN=PRPF40A PE=1 SV=2,PRPF40A,57,167,957,108.737,7.56,79,0.999,0.987,0.84,0.69,0.441,0.261,0.165,0.117,0.098,0.099
O75410,Isoform 2 of Transforming acidic coiled-coil-containing protein 1 OS=Homo sapiens GN=TACC1,TACC1,50,101,817,89.163,4.88,38,0.999,1.034,1.059,0.987,0.834,0.587,0.388,0.273,0.206,0.173
O75414,Nucleoside diphosphate kinase 6 OS=Homo sapiens GN=NME6 PE=1 SV=3,NME6,19,68,186,21.129,8.32,32,0.999,0.987,1.009,0.981,0.888,0.73,0.621,0.51,0.411,0.285
O75419,Isoform 2 of Cell division control protein 45 homolog OS=Homo sapiens GN=CDC45,CDC45,6,15,520,60.206,5.81,5,0.999,0.973,0.718,0.579,0.423,0.309,0.244,0.163,0.128,0.139
O75420,PERQ amino acid-rich with GYF domain-containing protein 1 OS=Homo sapiens GN=GIGYF1 PE=1 SV=2,GIGYF1,10,21,1035,114.531,5.39,5,0.999,1.106,0.946,0.796,0.518,0.281,0.158,0.132,0.113,0.125
O75427,Leucine-rich repeat and calponin homology domain-containing protein 4 OS=Homo sapiens GN=LRCH4 PE=1 SV=2,LRCH4,2,3,683,73.405,8.22,2,0.999,1.018,0.813,0.619,0.528,0.299,0.214,0.138,0.133,0.114
O75436,Vacuolar protein sorting-associated protein 26A OS=Homo sapiens GN=VPS26A PE=1 SV=2,VPS26A,61,379,327,38.146,6.57,162,0.999,0.985,1,0.949,0.81,0.549,0.304,0.12,0.1,0.089
O75439,Mitochondrial-processing peptidase subunit beta OS=Homo sapiens GN=PMPCB PE=1 SV=2,PMPCB,73,322,489,54.331,6.83,141,0.999,0.971,0.975,0.886,0.721,0.317,0.107,0.086,0.073,0.084
O75446,Histone deacetylase complex subunit SAP30 OS=Homo sapiens GN=SAP30 PE=1 SV=1,SAP30,17,48,220,23.292,9.17,23,0.999,1,0.878,0.624,0.425,0.229,0.149,0.123,0.101,0.112
O75449,Katanin p60 ATPase-containing subunit A1 OS=Homo sapiens GN=KATNA1 PE=1 SV=1,KATNA1,47,102,491,55.929,6.9,48,0.999,1.045,0.946,0.833,0.48,0.242,0.128,0.108,0.105,0.104
O75467,Zinc finger protein 324A OS=Homo sapiens GN=ZNF324 PE=1 SV=1,ZNF324,3,5,553,61.066,9.57,1,0.999,0.743,0.488,0.339,0.313,0.219,0.094,0.053,0.108,0.099
O75473,Leucine-rich repeat-containing G-protein coupled receptor 5 OS=Homo sapiens GN=LGR5 PE=1 SV=1,LGR5,2,7,907,99.934,6.6,1,0.999,0.823,0.818,0.719,0.523,0.549,0.504,0.403,0.198,0.159
O75475,PC4 and SFRS1-interacting protein OS=Homo sapiens GN=PSIP1 PE=1 SV=1,PSIP1,95,307,530,60.067,9.13,117,0.999,0.964,0.912,0.833,0.616,0.368,0.203,0.148,0.111,0.109
O75477,Erlin-1 OS=Homo sapiens GN=ERLIN1 PE=1 SV=1,ERLIN1,10,19,346,38.901,7.87,3,0.999,0.96,1.068,1.086,1.303,1.165,1.148,1.239,1.594,0.846
O75486,Transcription initiation protein SPT3 homolog OS=Homo sapiens GN=SUPT3H PE=1 SV=2,SUPT3H,7,13,399,44.334,8.48,7,0.999,1.007,0.902,0.729,0.489,0.299,0.163,0.107,0.109,0.083
O75487,Glypican-4 OS=Homo sapiens GN=GPC4 PE=1 SV=4,GPC4,2,2,556,62.372,6.68,2,0.999,1.108,0.973,0.809,0.733,0.649,0.674,0.918,0.488,0.249
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1",NDUFS3,30,81,264,30.223,7.5,36,0.999,0.972,0.908,0.871,0.874,0.82,0.636,0.347,0.166,0.122
O75494,Serine/arginine-rich splicing factor 10 OS=Homo sapiens GN=SRSF10 PE=1 SV=1,SRSF10,14,26,262,31.282,11.27,13,0.999,0.98,0.864,0.727,0.49,0.296,0.156,0.136,0.12,0.127
O75496,Geminin OS=Homo sapiens GN=GMNN PE=1 SV=1,GMNN,28,146,209,23.551,4.96,69,0.999,0.995,1.017,0.966,0.923,0.79,0.738,0.645,0.578,0.538
O75503,Ceroid-lipofuscinosis neuronal protein 5 OS=Homo sapiens GN=CLN5 PE=1 SV=2,CLN5,25,87,358,41.47,7.4,42,0.999,0.976,0.984,0.948,0.845,0.633,0.357,0.112,0.09,0.076
O75506,Heat shock factor-binding protein 1 OS=Homo sapiens GN=HSBP1 PE=1 SV=1,HSBP1,16,136,76,8.538,4.36,55,0.999,0.961,1.012,0.927,0.854,0.685,0.588,0.479,0.39,0.289
O75521,"Enoyl-CoA delta isomerase 2, mitochondrial OS=Homo sapiens GN=ECI2 PE=1 SV=4",ECI2,35,189,394,43.557,9,88,0.999,1.012,1.035,0.97,0.76,0.459,0.245,0.143,0.103,0.1
O75525,"KH domain-containing, RNA-binding, signal transduction-associated protein 3 OS=Homo sapiens GN=KHDRBS3 PE=1 SV=1",KHDRBS3,20,68,346,38.776,7.61,8,0.999,1,0.875,0.736,0.47,0.278,0.164,0.138,0.126,0.119
O75528,Transcriptional adapter 3 OS=Homo sapiens GN=TADA3 PE=1 SV=1,TADA3,14,29,432,48.872,6.27,10,0.999,1.025,0.975,0.756,0.647,0.443,0.292,0.236,0.185,0.159
O75529,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L OS=Homo sapiens GN=TAF5L PE=1 SV=1,TAF5L,2,4,589,66.114,5.88,2,0.999,1.043,0.888,0.694,0.373,0.214,0.099,0.093,0.088,0.084
O75530,Isoform 2 of Polycomb protein EED OS=Homo sapiens GN=EED,EED,22,46,466,53.027,7.36,22,0.999,0.906,0.891,0.771,0.516,0.219,0.104,0.063,0.083,0.084
O75531,Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1,BANF1,15,112,89,10.052,6.09,37,0.999,1.337,2.784,3.602,2.667,1.246,0.683,0.212,0.138,0.137
O75533,Splicing factor 3B subunit 1 OS=Homo sapiens GN=SF3B1 PE=1 SV=3,SF3B1,189,1004,1304,145.738,7.09,465,0.999,0.98,0.941,0.821,0.528,0.243,0.099,0.071,0.071,0.074
O75534,Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2,CSDE1,174,960,798,88.829,6.25,427,0.999,0.936,0.781,0.419,0.259,0.114,0.045,0.041,0.052,0.063
O75554,WW domain-binding protein 4 OS=Homo sapiens GN=WBP4 PE=1 SV=1,WBP4,26,92,376,42.481,5.57,46,0.999,0.947,0.938,0.876,0.786,0.626,0.54,0.416,0.336,0.3
O75569,Interferon-inducible double stranded RNA-dependent protein kinase activator A OS=Homo sapiens GN=PRKRA PE=1 SV=1,PRKRA,22,50,313,34.383,8.41,22,0.999,0.975,0.928,0.707,0.412,0.249,0.101,0.093,0.093,0.096
O75575,DNA-directed RNA polymerase III subunit RPC9 OS=Homo sapiens GN=CRCP PE=1 SV=1,CRCP,3,7,148,16.861,5.39,4,0.999,0.943,0.908,0.739,0.503,0.489,0.324,0.233,0.198,0.149
O75582,Ribosomal protein S6 kinase alpha-5 OS=Homo sapiens GN=RPS6KA5 PE=1 SV=1,RPS6KA5,38,79,802,89.809,7.11,32,0.999,0.991,0.877,0.59,0.341,0.18,0.085,0.077,0.079,0.081
O75600,"Isoform 2 of 2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Homo sapiens GN=GCAT",GCAT,21,61,445,47.944,7.97,24,0.999,1.016,0.989,0.98,0.862,0.632,0.493,0.326,0.216,0.136
O75607,Nucleoplasmin-3 OS=Homo sapiens GN=NPM3 PE=1 SV=3,NPM3,25,79,178,19.331,4.63,30,0.999,0.976,0.953,0.881,0.748,0.509,0.349,0.27,0.2,0.169
O75608,Acyl-protein thioesterase 1 OS=Homo sapiens GN=LYPLA1 PE=1 SV=1,LYPLA1,21,140,230,24.653,6.77,69,0.999,0.981,1.037,0.986,0.903,0.708,0.552,0.28,0.1,0.084
O75616,"GTPase Era, mitochondrial OS=Homo sapiens GN=ERAL1 PE=1 SV=2",ERAL1,22,48,437,48.319,8.84,22,0.999,0.962,0.624,0.275,0.206,0.082,0.032,0.029,0.04,0.053
O75629,Protein CREG1 OS=Homo sapiens GN=CREG1 PE=1 SV=1,CREG1,3,26,220,24.059,7.59,13,0.999,1.078,1.087,1.064,0.968,0.798,0.627,0.51,0.417,0.36
O75635,Serpin B7 OS=Homo sapiens GN=SERPINB7 PE=2 SV=1,SERPINB7,2,3,380,42.877,6.8,3,0.999,0.9,0.881,0.892,0.816,0.569,0.364,0.236,0.198,0.136
O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2,SNRNP200,267,1242,2136,244.353,6.06,561,0.999,0.988,0.916,0.819,0.536,0.24,0.093,0.068,0.066,0.074
O75648,Mitochondrial tRNA-specific 2-thiouridylase 1 OS=Homo sapiens GN=TRMU PE=1 SV=2,TRMU,23,56,421,47.714,8.03,23,0.999,0.98,0.943,0.784,0.56,0.323,0.194,0.131,0.076,0.075
O75663,TIP41-like protein OS=Homo sapiens GN=TIPRL PE=1 SV=2,TIPRL,40,209,272,31.424,5.91,95,0.999,1.008,1.014,0.901,0.611,0.261,0.121,0.095,0.098,0.087
O75674,TOM1-like protein 1 OS=Homo sapiens GN=TOM1L1 PE=1 SV=2,TOM1L1,21,57,476,52.956,5.24,22,0.999,1.043,0.984,0.906,0.658,0.387,0.153,0.119,0.096,0.099
O75676,Ribosomal protein S6 kinase alpha-4 OS=Homo sapiens GN=RPS6KA4 PE=1 SV=1,RPS6KA4,7,13,772,85.552,8.28,3,0.999,0.953,0.883,0.739,0.653,0.529,0.429,0.473,0.378,0.459
O75683,Surfeit locus protein 6 OS=Homo sapiens GN=SURF6 PE=1 SV=3,SURF6,30,69,361,41.426,10.64,28,0.999,0.98,0.998,1.071,0.834,0.549,0.38,0.218,0.129,0.111
O75688,Protein phosphatase 1B OS=Homo sapiens GN=PPM1B PE=1 SV=1,PPM1B,55,205,479,52.609,5.05,66,0.999,0.981,1.021,0.928,0.785,0.326,0.147,0.103,0.103,0.1
O75691,Small subunit processome component 20 homolog OS=Homo sapiens GN=UTP20 PE=1 SV=3,UTP20,36,74,2785,318.182,7.39,32,0.999,1.026,0.977,0.82,0.45,0.316,0.176,0.147,0.147,0.131
O75694,Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1,NUP155,61,158,1391,155.1,6.16,66,0.999,1.065,0.889,0.877,0.632,0.299,0.176,0.126,0.115,0.107
O75695,Protein XRP2 OS=Homo sapiens GN=RP2 PE=1 SV=4,RP2,21,54,350,39.615,5.12,26,0.999,0.986,1.023,0.941,0.781,0.339,0.174,0.115,0.113,0.114
O75715,Epididymal secretory glutathione peroxidase OS=Homo sapiens GN=GPX5 PE=1 SV=1,GPX5,1,1,221,25.186,8.65,1,0.999,2.293,1.608,1.379,1.383,1.589,1.344,0.923,0.658,0.319
O75717,WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1 PE=1 SV=1,WDHD1,139,491,1129,125.888,5.62,222,0.999,0.993,0.934,0.707,0.368,0.168,0.082,0.066,0.066,0.077
O75718,Cartilage-associated protein OS=Homo sapiens GN=CRTAP PE=1 SV=1,CRTAP,47,124,401,46.532,5.73,59,0.999,0.904,0.9,0.713,0.518,0.332,0.249,0.209,0.197,0.223
O75762,Transient receptor potential cation channel subfamily A member 1 OS=Homo sapiens GN=TRPA1 PE=2 SV=3,TRPA1,2,3,1119,127.418,7.12,1,0.999,1.023,1.078,0.949,0.873,0.719,0.434,0.243,0.168,0.149
O75764,Transcription elongation factor A protein 3 OS=Homo sapiens GN=TCEA3 PE=2 SV=2,TCEA3,5,11,348,38.947,9.19,5,0.999,0.986,0.984,0.941,0.821,0.645,0.428,0.199,0.127,0.114
O75771,DNA repair protein RAD51 homolog 4 OS=Homo sapiens GN=RAD51D PE=1 SV=1,RAD51D,12,31,328,35.027,6.25,11,0.999,0.961,1.001,0.851,0.694,0.311,0.129,0.088,0.092,0.092
O75781,Paralemmin-1 OS=Homo sapiens GN=PALM PE=1 SV=2,PALM,43,101,387,42.05,5,44,0.999,0.973,1.022,0.951,0.92,0.767,0.658,0.546,0.367,0.216
O75787,Renin receptor OS=Homo sapiens GN=ATP6AP2 PE=1 SV=2,ATP6AP2,1,2,350,38.983,6.1,1,0.999,0.913,0.958,0.799,0.603,0.399,0.234,0.153,0.148,0.149
O75792,Ribonuclease H2 subunit A OS=Homo sapiens GN=RNASEH2A PE=1 SV=2,RNASEH2A,48,174,299,33.374,5.25,77,0.999,1.009,0.959,0.784,0.429,0.2,0.097,0.082,0.078,0.082
O75794,Cell division cycle protein 123 homolog OS=Homo sapiens GN=CDC123 PE=1 SV=1,CDC123,36,112,336,39.11,4.81,52,0.999,0.977,0.897,0.791,0.542,0.241,0.112,0.08,0.078,0.081
O75808,Calpain-15 OS=Homo sapiens GN=SOLH PE=1 SV=1,SOLH,10,18,1086,117.239,6.71,9,0.999,1.008,1,0.801,0.516,0.279,0.181,0.138,0.128,0.106
O75815,Breast cancer anti-estrogen resistance protein 3 OS=Homo sapiens GN=BCAR3 PE=1 SV=1,BCAR3,4,21,825,92.507,7.96,9,0.999,1.002,1.006,0.984,0.922,0.794,0.843,0.685,0.509,0.248
O75817,Ribonuclease P protein subunit p20 OS=Homo sapiens GN=POP7 PE=1 SV=2,POP7,15,51,140,15.641,8.94,26,0.999,0.985,1.006,0.917,0.762,0.552,0.317,0.186,0.132,0.103
O75818,Ribonuclease P protein subunit p40 OS=Homo sapiens GN=RPP40 PE=1 SV=3,RPP40,40,126,363,41.807,6.67,59,0.999,0.95,0.994,0.975,0.902,0.739,0.545,0.353,0.22,0.164
O75821,Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens GN=EIF3G PE=1 SV=2,EIF3G,74,424,320,35.589,6.13,174,0.999,0.982,0.915,0.719,0.453,0.227,0.11,0.083,0.079,0.082
O75822,Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens GN=EIF3J PE=1 SV=2,EIF3J,64,396,258,29.045,4.83,136,0.999,0.961,0.934,0.828,0.775,0.396,0.152,0.099,0.084,0.085
O75828,Carbonyl reductase [NADPH] 3 OS=Homo sapiens GN=CBR3 PE=1 SV=3,CBR3,29,223,277,30.831,6.18,13,0.999,0.982,1.025,0.938,0.788,0.348,0.173,0.119,0.115,0.112
O75832,26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens GN=PSMD10 PE=1 SV=1,PSMD10,46,398,226,24.412,6.1,165,0.999,0.983,0.998,0.883,0.492,0.222,0.11,0.082,0.081,0.082
O75843,AP-1 complex subunit gamma-like 2 OS=Homo sapiens GN=AP1G2 PE=1 SV=1,AP1G2,19,42,785,87.062,6.55,15,0.999,1.031,0.873,0.667,0.414,0.236,0.123,0.088,0.093,0.089
O75844,CAAX prenyl protease 1 homolog OS=Homo sapiens GN=ZMPSTE24 PE=1 SV=2,ZMPSTE24,15,31,475,54.778,7.49,16,0.999,0.972,0.936,0.78,0.652,0.464,0.392,0.313,0.188,0.139
O75864,Protein phosphatase 1 regulatory subunit 37 OS=Homo sapiens GN=PPP1R37 PE=1 SV=4,PPP1R37,6,12,691,74.721,5.06,6,0.999,1.276,0.908,0.812,0.436,0.279,0.218,0.166,0.148,0.149
O75865,Isoform 2 of Trafficking protein particle complex subunit 6A OS=Homo sapiens GN=TRAPPC6A,TRAPPC6A,11,25,173,18.92,5.31,9,0.999,0.963,0.945,0.809,0.55,0.248,0.095,0.077,0.073,0.079
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2,IDH1,95,810,414,46.63,7.01,369,0.999,0.97,0.995,0.941,0.875,0.714,0.646,0.486,0.215,0.094
O75879,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Homo sapiens GN=PET112 PE=1 SV=1",PET112,33,74,557,61.825,8.63,37,0.999,0.883,0.753,0.402,0.262,0.139,0.07,0.058,0.08,0.087
O75880,"Protein SCO1 homolog, mitochondrial OS=Homo sapiens GN=SCO1 PE=1 SV=1",SCO1,10,39,301,33.793,8.88,17,0.999,0.929,0.96,0.848,0.69,0.409,0.297,0.313,0.363,0.334
O75882,Attractin OS=Homo sapiens GN=ATRN PE=1 SV=2,ATRN,8,14,1429,158.432,7.31,6,0.999,0.993,0.988,0.939,0.846,0.665,0.558,0.456,0.368,0.296
O75884,Putative hydrolase RBBP9 OS=Homo sapiens GN=RBBP9 PE=1 SV=2,RBBP9,10,42,186,20.986,6.2,20,0.999,0.996,0.989,0.861,0.51,0.202,0.114,0.089,0.079,0.085
O75886,Signal transducing adapter molecule 2 OS=Homo sapiens GN=STAM2 PE=1 SV=1,STAM2,42,96,525,58.128,5.07,43,0.999,1.044,0.971,0.923,0.556,0.246,0.125,0.086,0.088,0.092
O75896,Tumor suppressor candidate 2 OS=Homo sapiens GN=TUSC2 PE=1 SV=3,TUSC2,8,15,110,12.066,9.69,8,0.999,0.981,0.913,0.974,0.756,0.394,0.252,0.16,0.135,0.146
O75909,Isoform 4 of Cyclin-K OS=Homo sapiens GN=CCNK,CCNK,34,88,600,66.095,8.63,39,0.999,0.982,0.972,0.953,0.773,0.512,0.233,0.132,0.125,0.113
O75911,Short-chain dehydrogenase/reductase 3 OS=Homo sapiens GN=DHRS3 PE=1 SV=2,DHRS3,1,2,302,33.527,8.84,1,0.999,1.013,0.928,0.839,0.573,0.349,0.174,0.113,0.098,0.119
O75914,Isoform 3 of Serine/threonine-protein kinase PAK 3 OS=Homo sapiens GN=PAK3,PAK3,36,187,580,64.49,5.53,63,0.999,1.018,1.019,0.985,0.831,0.635,0.412,0.153,0.093,0.086
O75915,PRA1 family protein 3 OS=Homo sapiens GN=ARL6IP5 PE=1 SV=1,ARL6IP5,14,37,188,21.6,9.77,15,0.999,1.012,0.962,0.786,0.667,0.465,0.376,0.257,0.217,0.167
O75920,Isoform Short of Small EDRK-rich factor 1 OS=Homo sapiens GN=SERF1A,SERF1A,11,23,62,7.332,10.45,8,0.999,1.039,1.082,0.98,0.827,0.669,0.652,0.608,0.551,0.434
O75928,E3 SUMO-protein ligase PIAS2 OS=Homo sapiens GN=PIAS2 PE=1 SV=3,PIAS2,4,8,621,68.197,7.52,4,0.999,1.043,0.818,0.564,0.323,0.159,0.069,0.058,0.073,0.074
O75934,Pre-mRNA-splicing factor SPF27 OS=Homo sapiens GN=BCAS2 PE=1 SV=1,BCAS2,32,129,225,26.115,5.66,60,0.999,0.952,0.894,0.86,0.629,0.374,0.212,0.135,0.11,0.109
O75935,Dynactin subunit 3 OS=Homo sapiens GN=DCTN3 PE=1 SV=1,DCTN3,33,126,186,21.106,5.47,48,0.999,1.003,0.977,0.862,0.482,0.151,0.063,0.049,0.054,0.06
O75937,DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2,DNAJC8,77,549,253,29.823,9.06,258,0.999,0.968,0.978,0.869,0.644,0.306,0.156,0.122,0.117,0.114
O75940,Survival of motor neuron-related-splicing factor 30 OS=Homo sapiens GN=SMNDC1 PE=1 SV=1,SMNDC1,39,245,238,26.694,7.24,112,0.999,0.966,0.985,0.889,0.772,0.717,0.712,0.576,0.475,0.44
O75943,Cell cycle checkpoint protein RAD17 OS=Homo sapiens GN=RAD17 PE=1 SV=2,RAD17,3,6,681,77.006,7.06,3,0.999,0.983,0.725,0.439,0.35,0.192,0.141,0.116,0.114,0.116
O75947,"ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3",ATP5H,23,62,161,18.479,5.3,30,0.999,0.912,1.108,0.987,1.109,0.773,0.721,0.668,0.528,0.419
O75955,Flotillin-1 OS=Homo sapiens GN=FLOT1 PE=1 SV=3,FLOT1,23,46,427,47.326,7.49,23,0.999,0.978,1.036,1.047,0.882,0.67,0.466,0.3,0.205,0.204
O75956,Cyclin-dependent kinase 2-associated protein 2 OS=Homo sapiens GN=CDK2AP2 PE=2 SV=1,CDK2AP2,8,20,126,13.093,9.48,8,0.999,0.96,0.934,0.77,0.654,0.485,0.386,0.28,0.221,0.2
O75962,Isoform 4 of Triple functional domain protein OS=Homo sapiens GN=TRIO,TRIO,20,38,3038,341.384,6.4,17,0.999,1.005,0.924,0.739,0.4,0.219,0.112,0.069,0.066,0.081
O75964,"ATP synthase subunit g, mitochondrial OS=Homo sapiens GN=ATP5L PE=1 SV=3",ATP5L,7,22,103,11.421,9.64,10,0.999,1.017,1.032,0.879,0.777,0.599,0.559,0.491,0.428,0.239
O75971,snRNA-activating protein complex subunit 5 OS=Homo sapiens GN=SNAPC5 PE=1 SV=1,SNAPC5,6,12,98,11.322,4.58,4,0.999,1.069,0.994,0.873,0.746,0.532,0.424,0.368,0.374,0.306
O75976,Carboxypeptidase D OS=Homo sapiens GN=CPD PE=1 SV=2,CPD,31,60,1380,152.835,6.05,29,0.999,0.969,0.979,0.832,0.631,0.429,0.307,0.22,0.173,0.161
O76003,Glutaredoxin-3 OS=Homo sapiens GN=GLRX3 PE=1 SV=2,GLRX3,56,390,335,37.408,5.39,175,0.999,1.006,0.982,0.86,0.484,0.218,0.103,0.079,0.077,0.079
O76021,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens GN=RSL1D1 PE=1 SV=3,RSL1D1,74,206,490,54.939,10.13,96,0.999,0.971,0.985,1.043,0.849,0.493,0.185,0.08,0.075,0.08
