Accession,Description,GeneName,Peptides,PSMs,AAs,MW.kDA,pI,QuantifyingPSMs,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
P29692,Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5,EEF1D,148,2107,281,31.103,5.01,139,0.992,0.993,0.987,0.869,0.602,0.363,0.28,0.207,0.182,0.147
P29803,"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial OS=Homo sapiens GN=PDHA2 PE=1 SV=1",PDHA2,5,13,388,42.906,8.46,6,0.992,0.996,1.043,0.967,0.793,0.548,0.315,0.274,0.179,0.202
P29966,Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4,MARCKS,54,386,332,31.536,4.45,152,0.992,0.95,0.994,0.957,0.904,0.851,0.787,0.724,0.5,0.612
P29992,Guanine nucleotide-binding protein subunit alpha-11 OS=Homo sapiens GN=GNA11 PE=1 SV=2,GNA11,14,27,359,42.097,5.69,10,0.992,1.044,1.153,0.973,0.72,0.35,0.255,0.185,0.169,0.156
P30038,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Homo sapiens GN=ALDH4A1 PE=1 SV=3",ALDH4A1,47,106,563,61.681,8.07,51,0.992,0.899,0.725,0.543,0.426,0.228,0.14,0.103,0.1,0.078
P30039,Phenazine biosynthesis-like domain-containing protein OS=Homo sapiens GN=PBLD PE=1 SV=2,PBLD,1,2,288,31.765,6.52,1,0.992,0.986,0.903,0.997,0.713,0.638,0.445,0.264,0.169,0.162
P30040,Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4,ERP29,43,457,261,28.975,7.31,227,0.992,0.943,0.995,0.94,0.854,0.633,0.431,0.335,0.231,0.245
P30041,Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3,PRDX6,67,795,224,25.019,6.38,410,0.992,0.968,0.959,0.95,0.85,0.606,0.39,0.141,0.116,0.074
P30042,"ES1 protein homolog, mitochondrial OS=Homo sapiens GN=C21orf33 PE=1 SV=3",C21orf33,31,204,268,28.153,8.27,97,0.992,0.976,1.034,1.033,0.982,0.902,0.815,0.821,0.529,0.797
P30043,Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3,BLVRB,24,245,206,22.105,7.65,117,0.992,0.957,0.953,0.842,0.56,0.3,0.196,0.147,0.13,0.102
P30044,"Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4",PRDX5,35,374,214,22.073,8.7,180,0.992,0.987,1.081,1.079,0.992,0.895,0.782,0.618,0.288,0.185
P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens GN=PRDX3 PE=1 SV=3",PRDX3,28,630,256,27.675,7.78,289,0.992,0.98,1.024,1.013,0.93,0.806,0.652,0.463,0.207,0.157
P30049,"ATP synthase subunit delta, mitochondrial OS=Homo sapiens GN=ATP5D PE=1 SV=2",ATP5D,12,96,168,17.479,5.49,41,0.992,0.934,1.035,0.94,0.872,0.733,0.64,0.644,0.586,0.773
P30050,60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,RPL12,38,294,165,17.808,9.42,135,0.992,1.04,1.493,1.517,1.39,1.105,0.842,0.586,0.183,0.147
P30084,"Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=ECHS1 PE=1 SV=4",ECHS1,48,349,290,31.367,8.07,164,0.992,0.971,1.045,1.059,0.97,0.659,0.178,0.127,0.102,0.07
P30085,UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3,CMPK1,24,189,196,22.208,5.57,88,0.992,0.965,0.92,0.753,0.476,0.274,0.159,0.117,0.126,0.105
P30086,Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3,PEBP1,36,609,187,21.044,7.53,285,0.992,0.963,0.979,0.986,0.913,0.824,0.715,0.59,0.318,0.238
P30101,Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4,PDIA3,119,1335,505,56.747,6.35,482,0.992,0.939,0.919,0.643,0.42,0.276,0.203,0.156,0.139,0.13
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4,PPP2R1A,80,527,589,65.267,5.11,216,0.992,0.935,0.802,0.689,0.592,0.425,0.218,0.129,0.115,0.083
P30154,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Homo sapiens GN=PPP2R1B PE=1 SV=3,PPP2R1B,34,104,601,66.171,4.94,19,0.992,0.939,0.78,0.587,0.401,0.274,0.226,0.155,0.143,0.122
P30281,G1/S-specific cyclin-D3 OS=Homo sapiens GN=CCND3 PE=1 SV=2,CCND3,9,20,292,32.499,7.06,9,0.992,1.078,0.881,0.768,0.635,0.446,0.29,0.194,0.149,0.105
P30291,Wee1-like protein kinase OS=Homo sapiens GN=WEE1 PE=1 SV=2,WEE1,2,4,646,71.553,6.77,2,0.992,1.076,0.818,0.717,0.553,0.383,0.31,0.224,0.209,0.147
P30305,Isoform 4 of M-phase inducer phosphatase 2 OS=Homo sapiens GN=CDC25B,CDC25B,4,8,601,67.198,6.14,4,0.992,0.981,0.78,0.609,0.476,0.355,0.295,0.196,0.134,0.124
P30307,M-phase inducer phosphatase 3 OS=Homo sapiens GN=CDC25C PE=1 SV=2,CDC25C,2,4,473,53.331,6.79,2,0.992,0.906,0.763,0.627,0.563,0.448,0.315,0.194,0.189,0.112
P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens GN=PPIF PE=1 SV=1",PPIF,41,207,207,22.026,9.38,73,0.992,0.96,1.031,0.996,0.85,0.515,0.263,0.161,0.11,0.087
P30414,NK-tumor recognition protein OS=Homo sapiens GN=NKTR PE=1 SV=2,NKTR,7,14,1462,165.577,9.99,7,0.992,0.906,1.014,0.975,0.727,0.438,0.305,0.242,0.177,0.169
P30419,Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens GN=NMT1 PE=1 SV=2,NMT1,50,310,496,56.77,7.8,125,0.992,0.948,0.987,0.915,0.801,0.58,0.272,0.139,0.112,0.085
P30443,"HLA class I histocompatibility antigen, A-1 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1",HLA,19,53,365,40.82,6.54,7,0.992,0.972,1.093,0.863,0.775,0.69,0.63,0.532,0.366,0.391
P30479,"HLA class I histocompatibility antigen, B-41 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1",HLA,14,42,362,40.514,6.54,8,0.992,0.986,1.071,0.974,0.889,0.843,0.794,0.697,0.612,0.616
P30483,"HLA class I histocompatibility antigen, B-45 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1",HLA,13,36,362,40.389,6.47,8,0.992,1.011,1.12,0.927,0.858,0.8,0.763,0.694,0.532,0.557
P30486,"HLA class I histocompatibility antigen, B-48 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1",HLA,4,12,362,40.337,6,2,0.992,0.976,0.913,0.827,0.803,0.718,0.725,0.594,0.509,0.492
P30501,"HLA class I histocompatibility antigen, Cw-2 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=1",HLA,4,13,366,41.069,6.11,1,0.992,0.946,0.943,0.737,0.733,0.598,0.585,0.434,0.379,0.372
P30508,"HLA class I histocompatibility antigen, Cw-12 alpha chain OS=Homo sapiens GN=HLA-C PE=2 SV=2",HLA,7,20,366,40.86,6.3,1,0.992,1.036,1.093,0.807,0.783,0.648,0.545,0.524,0.259,0.392
P30519,Heme oxygenase 2 OS=Homo sapiens GN=HMOX2 PE=1 SV=2,HMOX2,7,14,316,36.01,5.41,7,0.992,0.95,0.873,0.622,0.381,0.238,0.18,0.138,0.123,0.133
P30520,Adenylosuccinate synthetase isozyme 2 OS=Homo sapiens GN=ADSS PE=1 SV=3,ADSS,69,393,456,50.066,6.55,165,0.992,0.986,0.999,0.982,0.921,0.808,0.718,0.588,0.279,0.126
P30533,Alpha-2-macroglobulin receptor-associated protein OS=Homo sapiens GN=LRPAP1 PE=1 SV=1,LRPAP1,66,275,357,41.441,8.78,133,0.992,0.961,0.97,0.909,0.848,0.78,0.653,0.571,0.41,0.455
P30536,Translocator protein OS=Homo sapiens GN=TSPO PE=1 SV=3,TSPO,4,10,169,18.816,9.36,5,0.992,0.954,1.207,0.933,0.813,0.68,0.605,0.622,0.413,0.644
P30566,Adenylosuccinate lyase OS=Homo sapiens GN=ADSL PE=1 SV=2,ADSL,30,200,484,54.854,7.11,95,0.992,0.991,0.988,0.977,0.893,0.783,0.69,0.634,0.339,0.122
P30613,Pyruvate kinase isozymes R/L OS=Homo sapiens GN=PKLR PE=1 SV=2,PKLR,13,147,574,61.791,7.74,6,0.992,0.817,1.019,0.985,0.948,1.224,0.99,0.794,0.213,0.118
P30622,CAP-Gly domain-containing linker protein 1 OS=Homo sapiens GN=CLIP1 PE=1 SV=2,CLIP1,219,605,1438,162.147,5.36,253,0.992,0.96,0.976,0.933,0.846,0.727,0.585,0.429,0.279,0.288
P30626,Sorcin OS=Homo sapiens GN=SRI PE=1 SV=1,SRI,34,212,198,21.662,5.59,96,0.992,0.982,0.93,0.895,0.76,0.616,0.408,0.255,0.17,0.14
P30740,Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1,SERPINB1,66,329,379,42.715,6.28,144,0.992,0.984,0.987,0.973,0.866,0.575,0.258,0.153,0.128,0.097
P30793,GTP cyclohydrolase 1 OS=Homo sapiens GN=GCH1 PE=1 SV=1,GCH1,11,20,250,27.885,8.56,10,0.992,0.922,0.939,0.957,0.889,0.796,0.721,0.688,0.509,0.646
P30825,High affinity cationic amino acid transporter 1 OS=Homo sapiens GN=SLC7A1 PE=1 SV=1,SLC7A1,3,6,629,67.594,5.43,3,0.992,1.096,1.249,0.95,0.883,0.738,0.615,0.514,0.426,0.512
P30837,"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens GN=ALDH1B1 PE=1 SV=3",ALDH1B1,60,280,517,57.17,6.8,112,0.992,0.967,1.022,0.994,0.913,0.68,0.318,0.169,0.126,0.103
P30876,DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens GN=POLR2B PE=1 SV=1,POLR2B,106,358,1174,133.811,6.87,184,0.992,0.943,0.9,0.762,0.543,0.371,0.278,0.202,0.154,0.116
P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens GN=SDHA PE=1 SV=2",SDHA,59,191,664,72.645,7.39,90,0.992,0.901,1.081,1.033,1.04,0.911,0.758,0.556,0.291,0.193
P31146,Coronin-1A OS=Homo sapiens GN=CORO1A PE=1 SV=4,CORO1A,36,78,461,50.994,6.68,36,0.992,0.943,0.92,0.751,0.379,0.206,0.151,0.11,0.098,0.068
P31150,Rab GDP dissociation inhibitor alpha OS=Homo sapiens GN=GDI1 PE=1 SV=2,GDI1,83,806,447,50.55,5.14,186,0.992,0.967,0.99,0.943,0.847,0.645,0.373,0.139,0.117,0.082
P31153,S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens GN=MAT2A PE=1 SV=1,MAT2A,76,708,395,43.633,6.48,312,0.992,0.961,0.952,0.902,0.81,0.659,0.532,0.388,0.211,0.154
P31321,cAMP-dependent protein kinase type I-beta regulatory subunit OS=Homo sapiens GN=PRKAR1B PE=1 SV=4,PRKAR1B,14,35,381,43.046,5.71,3,0.992,1.053,0.956,0.863,0.596,0.451,0.295,0.29,0.233,0.222
P31323,cAMP-dependent protein kinase type II-beta regulatory subunit OS=Homo sapiens GN=PRKAR2B PE=1 SV=3,PRKAR2B,27,70,418,46.273,4.92,25,0.992,0.994,0.82,0.675,0.443,0.245,0.164,0.114,0.104,0.09
P31350,Isoform 2 of Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens GN=RRM2,RRM2,69,352,449,51.06,6.57,153,0.992,0.973,0.957,0.926,0.813,0.7,0.582,0.486,0.301,0.293
P31431,Syndecan-4 OS=Homo sapiens GN=SDC4 PE=1 SV=2,SDC4,7,16,198,21.628,4.5,7,0.992,1.055,1.073,1.049,0.923,0.702,0.638,0.468,0.303,0.266
P31483,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3,TIA1,34,87,386,42.936,7.74,14,0.992,1.088,0.861,0.731,0.533,0.408,0.204,0.082,0.088,0.058
P31689,DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2,DNAJA1,47,254,397,44.839,7.08,114,0.992,0.955,0.727,0.613,0.423,0.281,0.196,0.121,0.113,0.075
P31749,RAC-alpha serine/threonine-protein kinase OS=Homo sapiens GN=AKT1 PE=1 SV=2,AKT1,39,81,480,55.651,6.07,32,0.992,0.971,0.793,0.561,0.373,0.24,0.18,0.142,0.13,0.093
P31751,RAC-beta serine/threonine-protein kinase OS=Homo sapiens GN=AKT2 PE=1 SV=2,AKT2,22,43,481,55.733,6.37,14,0.992,0.98,0.836,0.701,0.475,0.308,0.2,0.165,0.133,0.111
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens GN=UQCRC1 PE=1 SV=3",UQCRC1,33,85,480,52.612,6.37,34,0.992,0.928,0.995,0.848,0.675,0.502,0.369,0.28,0.174,0.151
P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Homo sapiens GN=HIBADH PE=1 SV=2",HIBADH,31,192,336,35.306,8.13,90,0.992,0.957,1.046,1.055,1.052,0.955,0.897,0.778,0.406,0.217
P31939,Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3,ATIC,139,1260,592,64.575,6.71,605,0.992,0.975,0.982,0.95,0.872,0.729,0.532,0.315,0.147,0.097
P31942,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3 PE=1 SV=2,HNRNPH3,30,136,346,36.903,6.87,60,0.992,0.894,0.638,0.334,0.248,0.15,0.125,0.104,0.099,0.072
P31946,14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3,YWHAB,58,1768,246,28.065,4.83,240,0.992,0.97,0.995,0.983,0.896,0.658,0.313,0.174,0.136,0.097
P31947,14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1,SFN,65,1593,248,27.757,4.74,399,0.992,0.965,0.987,0.986,0.914,0.715,0.403,0.202,0.144,0.11
P31948,Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1,STIP1,169,1937,543,62.599,6.8,938,0.992,0.964,0.961,0.889,0.654,0.391,0.283,0.174,0.142,0.115
P31949,Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2,S100A11,18,264,105,11.733,7.12,121,0.992,0.944,0.986,0.957,0.857,0.795,0.688,0.545,0.284,0.231
P32019,"Type II inositol 1,4,5-trisphosphate 5-phosphatase OS=Homo sapiens GN=INPP5B PE=1 SV=4",INPP5B,9,16,993,112.78,5.57,7,0.992,0.992,0.854,0.698,0.465,0.262,0.199,0.149,0.126,0.12
P32119,Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5,PRDX2,45,805,198,21.878,5.97,277,0.992,0.975,1.005,0.974,0.918,0.723,0.476,0.232,0.142,0.102
P32121,Isoform 4 of Beta-arrestin-2 OS=Homo sapiens GN=ARRB2,ARRB2,25,63,430,47.985,7.69,23,0.992,0.978,0.883,0.779,0.546,0.312,0.223,0.153,0.143,0.117
P32320,Cytidine deaminase OS=Homo sapiens GN=CDA PE=1 SV=2,CDA,2,4,146,16.174,6.92,2,0.992,0.866,0.858,0.782,0.693,0.563,0.525,0.439,0.389,0.537
P32321,Isoform 2 of Deoxycytidylate deaminase OS=Homo sapiens GN=DCTD,DCTD,25,101,189,21,7.53,50,0.992,0.944,0.992,0.925,0.904,0.811,0.682,0.612,0.343,0.231
P32519,ETS-related transcription factor Elf-1 OS=Homo sapiens GN=ELF1 PE=1 SV=2,ELF1,4,8,619,67.456,5.21,4,0.992,0.904,0.66,0.542,0.456,0.365,0.23,0.179,0.132,0.112
P32780,General transcription factor IIH subunit 1 OS=Homo sapiens GN=GTF2H1 PE=1 SV=1,GTF2H1,1,2,548,61.993,8.66,1,0.992,1.056,0.833,0.627,0.523,0.398,0.325,0.214,0.189,0.252
P32856,Syntaxin-2 OS=Homo sapiens GN=STX2 PE=1 SV=3,STX2,5,10,288,33.32,6.28,5,0.992,1.012,1.141,1.059,0.745,0.59,0.369,0.238,0.217,0.162
P32929,Cystathionine gamma-lyase OS=Homo sapiens GN=CTH PE=1 SV=3,CTH,24,89,405,44.479,6.7,41,0.992,0.995,0.98,0.952,0.859,0.769,0.635,0.606,0.376,0.484
P32969,60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1,RPL9,25,229,192,21.85,9.95,64,0.992,1.097,1.663,1.779,1.705,1.359,1.099,0.729,0.21,0.199
P33176,Kinesin-1 heavy chain OS=Homo sapiens GN=KIF5B PE=1 SV=1,KIF5B,213,967,963,109.617,6.51,349,0.992,0.979,0.89,0.798,0.563,0.229,0.148,0.101,0.096,0.068
P33240,Cleavage stimulation factor subunit 2 OS=Homo sapiens GN=CSTF2 PE=1 SV=1,CSTF2,51,200,577,60.92,6.83,44,0.992,0.924,0.948,0.854,0.786,0.65,0.455,0.339,0.229,0.217
P33316,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens GN=DUT PE=1 SV=4",DUT,66,407,252,26.547,9.36,72,0.992,0.898,0.991,0.918,0.795,0.517,0.351,0.251,0.177,0.204
P33552,Cyclin-dependent kinases regulatory subunit 2 OS=Homo sapiens GN=CKS2 PE=1 SV=1,CKS2,10,34,79,9.854,8.46,10,0.992,0.922,0.861,0.643,0.519,0.363,0.314,0.213,0.215,0.223
P33764,Protein S100-A3 OS=Homo sapiens GN=S100A3 PE=1 SV=1,S100A3,2,4,101,11.705,4.78,2,0.992,0.891,0.913,0.857,0.743,0.708,0.505,0.329,0.194,0.162
P33908,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA OS=Homo sapiens GN=MAN1A1 PE=1 SV=3",MAN1A1,14,51,653,72.922,6.47,10,0.992,0.99,1.072,1.125,0.85,0.705,0.469,0.257,0.17,0.178
P33981,Dual specificity protein kinase TTK OS=Homo sapiens GN=TTK PE=1 SV=2,TTK,5,8,857,97.011,8.16,4,0.992,1.041,0.883,0.682,0.628,0.408,0.27,0.194,0.164,0.127
P33991,DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5,MCM4,129,652,863,96.498,6.74,311,0.992,0.988,0.881,0.702,0.414,0.207,0.146,0.099,0.103,0.072
P33992,DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5,MCM5,134,640,734,82.233,8.37,300,0.992,0.995,0.881,0.724,0.48,0.288,0.178,0.123,0.113,0.082
P33993,DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4,MCM7,117,554,719,81.257,6.46,271,0.992,0.973,0.849,0.671,0.404,0.222,0.163,0.118,0.114,0.083
P34059,N-acetylgalactosamine-6-sulfatase OS=Homo sapiens GN=GALNS PE=1 SV=1,GALNS,17,43,522,57.989,6.74,19,0.992,1.021,0.978,0.936,0.862,0.751,0.684,0.628,0.417,0.52
P34896,"Serine hydroxymethyltransferase, cytosolic OS=Homo sapiens GN=SHMT1 PE=1 SV=1",SHMT1,67,381,483,53.049,7.71,170,0.992,0.971,0.977,0.955,0.885,0.804,0.717,0.605,0.337,0.226
P34897,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3",SHMT2,104,870,504,55.958,8.53,198,0.992,0.937,1.015,0.984,0.959,0.864,0.743,0.578,0.323,0.175
P34903,Gamma-aminobutyric acid receptor subunit alpha-3 OS=Homo sapiens GN=GABRA3 PE=2 SV=1,GABRA3,1,1,492,55.129,8.66,1,0.992,0.866,0.853,0.687,0.483,0.388,0.245,0.144,0.139,0.102
P34913,Bifunctional epoxide hydrolase 2 OS=Homo sapiens GN=EPHX2 PE=1 SV=2,EPHX2,33,107,555,62.575,6.28,51,0.992,0.977,0.961,0.96,0.881,0.764,0.679,0.546,0.228,0.127
P34931,Heat shock 70 kDa protein 1-like OS=Homo sapiens GN=HSPA1L PE=1 SV=2,HSPA1L,87,1701,641,70.331,6.02,12,0.992,0.953,1.018,0.96,0.86,0.621,0.409,0.227,0.148,0.165
P34932,Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4,HSPA4,206,2466,840,94.271,5.19,1015,0.992,0.949,0.965,0.869,0.611,0.26,0.147,0.1,0.098,0.064
P34949,Mannose-6-phosphate isomerase OS=Homo sapiens GN=MPI PE=1 SV=2,MPI,18,46,423,46.626,5.95,22,0.992,0.943,0.887,0.732,0.494,0.264,0.175,0.131,0.108,0.081
P35030,Trypsin-3 OS=Homo sapiens GN=PRSS3 PE=1 SV=2,PRSS3,7,21,304,32.508,7.49,10,0.992,0.983,1.061,1.006,0.957,0.902,0.78,0.755,0.469,0.668
P35080,Profilin-2 OS=Homo sapiens GN=PFN2 PE=1 SV=3,PFN2,24,243,140,15.036,6.99,19,0.992,0.937,0.952,0.893,0.764,0.49,0.242,0.128,0.121,0.081
P35219,Carbonic anhydrase-related protein OS=Homo sapiens GN=CA8 PE=1 SV=3,CA8,7,13,290,32.953,4.86,6,0.992,0.944,0.953,0.837,0.581,0.361,0.257,0.199,0.146,0.095
P35221,Catenin alpha-1 OS=Homo sapiens GN=CTNNA1 PE=1 SV=1,CTNNA1,107,361,906,100.009,6.29,149,0.992,1.054,0.939,0.884,0.782,0.723,0.459,0.195,0.145,0.125
P35222,Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1,CTNNB1,80,346,781,85.442,5.86,148,0.992,1.045,0.92,0.869,0.783,0.692,0.497,0.244,0.14,0.12
P35228,"Nitric oxide synthase, inducible OS=Homo sapiens GN=NOS2 PE=1 SV=2",NOS2,1,1,1153,131.033,7.96,1,0.992,0.956,1.073,1.067,1.183,1.098,0.925,0.774,0.289,0.132
P35232,Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1,PHB,36,89,272,29.786,5.76,43,0.992,1.027,1.334,1.019,0.903,0.782,0.675,0.683,0.511,0.746
P35237,Serpin B6 OS=Homo sapiens GN=SERPINB6 PE=1 SV=3,SERPINB6,56,434,376,42.594,5.27,192,0.992,0.983,1.006,0.989,0.94,0.833,0.667,0.428,0.159,0.108
P35240,Isoform 2 of Merlin OS=Homo sapiens GN=NF2,NF2,26,65,620,72.468,7.11,22,0.992,0.966,0.935,0.788,0.593,0.287,0.25,0.154,0.105,0.094
P35241,Radixin OS=Homo sapiens GN=RDX PE=1 SV=1,RDX,125,1426,583,68.521,6.37,192,0.992,0.97,1.005,0.969,0.917,0.807,0.715,0.45,0.138,0.087
P35249,Replication factor C subunit 4 OS=Homo sapiens GN=RFC4 PE=1 SV=2,RFC4,50,134,363,39.657,8.02,59,0.992,1.025,0.691,0.578,0.35,0.204,0.158,0.109,0.11,0.082
P35250,Replication factor C subunit 2 OS=Homo sapiens GN=RFC2 PE=1 SV=3,RFC2,45,129,354,39.132,6.44,58,0.992,1.064,0.725,0.615,0.359,0.21,0.158,0.125,0.116,0.095
P35251,Replication factor C subunit 1 OS=Homo sapiens GN=RFC1 PE=1 SV=4,RFC1,30,68,1148,128.175,9.36,30,0.992,0.904,0.805,0.647,0.578,0.488,0.368,0.271,0.169,0.127
P35268,60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2,RPL22,17,131,128,14.778,9.19,60,0.992,1.071,1.483,1.489,1.406,1.184,0.953,0.644,0.213,0.177
P35269,General transcription factor IIF subunit 1 OS=Homo sapiens GN=GTF2F1 PE=1 SV=2,GTF2F1,84,444,517,58.205,7.49,220,0.992,0.969,0.94,0.875,0.702,0.523,0.328,0.216,0.168,0.166
P35270,Sepiapterin reductase OS=Homo sapiens GN=SPR PE=1 SV=1,SPR,32,152,261,28.031,8.05,68,0.992,0.994,0.911,0.83,0.683,0.473,0.242,0.156,0.122,0.092
P35321,Cornifin-A OS=Homo sapiens GN=SPRR1A PE=1 SV=2,SPRR1A,1,2,89,9.871,8.48,1,0.992,0.966,0.893,1.137,0.723,0.508,0.485,0.434,0.249,0.342
P35475,Alpha-L-iduronidase OS=Homo sapiens GN=IDUA PE=1 SV=2,IDUA,5,9,653,72.625,9.14,4,0.992,1.109,1.063,1.069,0.941,0.888,0.755,0.596,0.347,0.279
P35498,Sodium channel protein type 1 subunit alpha OS=Homo sapiens GN=SCN1A PE=1 SV=2,SCN1A,1,4,2009,228.823,5.81,2,0.992,0.916,0.823,0.737,0.653,0.548,0.255,0.144,0.139,0.092
P35548,Homeobox protein MSX-2 OS=Homo sapiens GN=MSX2 PE=1 SV=3,MSX2,4,8,267,28.879,9.67,3,0.992,0.993,1.093,0.973,1.046,0.961,0.849,0.694,0.809,0.715
P35568,Insulin receptor substrate 1 OS=Homo sapiens GN=IRS1 PE=1 SV=1,IRS1,12,23,1242,131.509,8.54,11,0.992,0.988,0.908,0.769,0.655,0.48,0.353,0.276,0.206,0.205
P35573,Glycogen debranching enzyme OS=Homo sapiens GN=AGL PE=1 SV=3,AGL,117,311,1532,174.652,6.76,145,0.992,0.956,0.962,0.806,0.482,0.252,0.184,0.142,0.123,0.09
P35579,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,MYH9,503,4686,1960,226.392,5.6,1792,0.992,0.977,0.946,0.82,0.68,0.438,0.196,0.122,0.111,0.08
P35580,Isoform 3 of Myosin-10 OS=Homo sapiens GN=MYH10,MYH10,336,1272,1997,231.226,5.53,341,0.992,0.982,0.93,0.77,0.471,0.294,0.21,0.132,0.117,0.089
P35606,Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2,COPB2,128,579,906,102.422,5.27,277,0.992,0.993,0.911,0.792,0.581,0.323,0.187,0.123,0.111,0.079
P35610,Sterol O-acyltransferase 1 OS=Homo sapiens GN=SOAT1 PE=1 SV=3,SOAT1,3,6,550,64.692,8.94,3,0.992,1.093,1.299,1.237,1.303,1.038,0.619,0.39,0.256,0.335
P35611,Isoform 3 of Alpha-adducin OS=Homo sapiens GN=ADD1,ADD1,45,132,768,84.25,5.96,65,0.992,0.994,0.971,0.907,0.805,0.684,0.526,0.397,0.264,0.279
P35612,Beta-adducin OS=Homo sapiens GN=ADD2 PE=1 SV=3,ADD2,2,4,726,80.803,5.92,1,0.992,1.066,1.013,1.117,1.113,0.828,0.585,0.474,0.369,0.392
P35613,Basigin OS=Homo sapiens GN=BSG PE=1 SV=2,BSG,26,89,385,42.174,5.66,42,0.992,0.959,1.215,1.064,1.076,1.22,1.363,1.564,0.757,0.672
P35637,RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1,FUS,10,72,526,53.394,9.36,15,0.992,0.996,1.063,0.947,0.823,0.578,0.465,0.374,0.199,0.262
P35658,Nuclear pore complex protein Nup214 OS=Homo sapiens GN=NUP214 PE=1 SV=2,NUP214,61,150,2090,213.488,7.47,71,0.992,1.006,0.918,0.879,0.629,0.377,0.263,0.195,0.132,0.102
P35659,Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1,DEK,38,85,375,42.648,8.56,41,0.992,0.957,1.011,0.805,0.593,0.421,0.295,0.22,0.163,0.15
